signal,obs1,obs2
75,0.987808104089454,0.9885839999507982,0.9870441504132373
76,0.9886334374577188,0.9884483712823859,0.9888156551908356
77,0.9892586810821213,0.9886481108087314,0.9898598537757569
78,0.9892515831603584,0.9890781738670762,0.9894223234280839
79,0.9900618188749168,0.9898055245015436,0.9903141684987348
80,0.98910740622859,0.9887312745649314,0.9894777486695144
81,0.9901034658710922,0.9907604446880303,0.9894565989300484
82,0.9902539007814318,0.9904953055850624,0.9900162115548512
83,0.989788315058947,0.9889052114071694,0.9906578264391046
84,0.9914479968686709,0.9922002916164703,0.9907072810499475
85,0.9916419229279072,0.9926402751811141,0.9906589367927894
86,0.991082895246749,0.9921178550435652,0.9900638650122734
87,0.9914207367758168,0.9912395429509332,0.9915991417596863
88,0.991241095337198,0.9907389837139863,0.9917354787197297
89,0.9929493812249983,0.993012120757924,0.992887607346298
90,0.9925169231540921,0.9918080157319725,0.9932149194422631
91,0.9933951081575311,0.9940199328293703,0.9927799004617257
92,0.9931789040928513,0.9935744441530004,0.9927894519793702
93,0.9937590569880875,0.9946760145852178,0.9928562127248782
94,0.9944077925290041,0.9944746737890457,0.9943419406704952
95,0.9952258408448965,0.995644666403248,0.9948134616314775
96,0.9957905545807222,0.9960705447145094,0.9955148739092973
97,0.9980377732052085,0.9990192874133594,0.9970713659527239
98,0.9980635264855231,0.9985421016454975,0.997592317305241
99,1.0002852580242778,1.0002370677035846,1.0003327066246452
100,1.00179733455959,1.0030763407737104,1.0005380141432028
101,1.0018909143082724,1.0006927429643646,1.0030706440226826
102,1.001972180307685,1.0012279104741375,1.002704994727459
103,1.0035017665835932,1.003793384081246,1.0032146375106334
104,1.0017902182844487,1.0018522474910365,1.0017291437991132
105,1.0039340420708973,1.0049323054856838,1.0029511434068452
106,1.002837106228449,1.0023555722553652,1.0033112286813295
107,1.0018370566629948,1.0020428228858074,1.0016344574867517
108,1.00372817560881,1.0049360722519196,1.0025388702819393
109,1.0036608985980469,1.004494240100975,1.0028403834536523
110,1.0029283590661784,1.004667490643028,1.0012159952970805
111,1.0032771468881099,1.0036774119656662,1.0028830424822293
112,1.0028781317157973,1.002117072271592,1.0036274773292833
113,1.0034446062676008,1.0049457523508498,1.0019665650432932
114,1.00276572115229,1.0025548242132178,1.0029733720754794
115,1.002385882692291,1.0035560395331815,1.001233736296253
116,1.0032998756854175,1.0038997624044268,1.0027092221104559
117,1.0020490561231785,1.0028887332334666,1.001222302885794
118,1.0036266600460808,1.003472043726224,1.0037788965920438
119,1.0033046589217305,1.0036657271516076,1.0029491480660577
120,1.002989231303049,1.0032935423290283,1.0026896040739421
121,1.0020105277484357,1.0019482650207052,1.0020718321606779
122,1.0035809553266035,1.0031897699474621,1.00396611978406
123,1.0042901984621952,1.0040682556348428,1.0045087252611036
124,1.001495278236807,1.0021846533512324,1.0008165136252192
125,1.003498233701758,1.0028997308548948,1.004087524704413
126,1.0034295251844059,1.0024889339677945,1.0043556393107298
127,1.0037321945825797,1.0045975540729888,1.0028801542548977
128,1.0024740478511565,1.0035213397276046,1.0014428753459983
129,1.0035783579193782,1.0034497361132548,1.0037050000456285
130,1.0023823699257097,1.0021863671313411,1.0025753559471164
131,1.0026168804870024,1.0032961401946452,1.0019480755911232
132,1.0017566828288842,1.0021390280373383,1.0013802224788106
